# Time Placeoccupvoi Placeoccupvelo
14.47.56 6379 285
15.09.09 6390 285
15.30.24 6331 285
15.51.38 6270 285
16.12.50 6173 285
16.34.03 6011 285
16.55.19 5857 285
17.16.31 5621 285
17.37.44 5500 285
17.58.57 5367 285
18.20.10 5187 285
18.41.48 4966 285
19.03.01 4890 285
19.24.02 4752 292
19.45.50 4733 290
20.06.29 4772 293
20.27.46 4773 299
20.48.43 4798 297
21.08.16 4789 296
21.29.14 4786 298
