station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,8,4,12,2022,01-16,17:53
002 Com�die,2,22,24,2022,01-16,17:53
003 Esplanade,5,27,32,2022,01-16,17:53
004 H�tel de Ville,12,4,16,2022,01-16,17:53
005 Corum,8,4,12,2022,01-16,17:53
006 Place Albert 1er - St Charles,8,23,31,2022,01-16,17:53
007 Foch,1,7,8,2022,01-16,17:53
008 Halles Castellane,0,12,12,2022,01-16,17:53
009 Observatoire,3,5,8,2022,01-16,17:53
010 Rondelet,3,13,16,2022,01-16,17:53
011 Plan Cabanes,4,8,12,2022,01-16,17:53
012 Boutonnet,1,11,12,2022,01-16,17:53
013 Emile Combes,3,5,8,2022,01-16,17:53
014 Beaux-Arts,5,3,8,2022,01-16,17:53
015 Les Aubes,4,4,8,2022,01-16,17:53
016 Antigone centre,10,6,16,2022,01-16,17:53
017 M�diath�que Emile Zola,3,13,16,2022,01-16,17:53
018 Nombre d'Or,14,2,16,2022,01-16,17:53
019 Louis Blanc,7,9,16,2022,01-16,17:53
020 Gambetta,1,7,8,2022,01-16,17:53
021 Port Marianne,14,2,16,2022,01-16,17:53
022 Clemenceau,3,9,12,2022,01-16,17:53
023 Les Arceaux,3,13,16,2022,01-16,17:53
024 Cit� Mion,4,4,8,2022,01-16,17:53
025 Nouveau Saint-Roch,5,3,8,2022,01-16,17:53
026 Renouvier,0,8,8,2022,01-16,17:53
027 Odysseum,5,3,8,2022,01-16,17:53
028 Saint-Denis,4,4,8,2022,01-16,17:53
029 Richter,6,10,16,2022,01-16,17:53
030 Charles Flahault,7,1,8,2022,01-16,17:53
031 Voltaire,0,8,8,2022,01-16,17:53
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,17:53
033 Garcia Lorca,6,2,8,2022,01-16,17:53
034 Vert Bois,0,16,16,2022,01-16,17:53
035 Malbosc,1,7,8,2022,01-16,17:53
036 Occitanie,5,27,32,2022,01-16,17:53
037 FacdesSciences,12,12,24,2022,01-16,17:53
038 Fac de Lettres,6,10,16,2022,01-16,17:53
039 Aiguelongue,3,5,8,2022,01-16,17:53
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,17:53
041 Eurom�decine,1,7,8,2022,01-16,17:53
042 Marie Caizergues,2,6,8,2022,01-16,17:53
043 Sabines,3,5,8,2022,01-16,17:53
044 Celleneuve,4,4,8,2022,01-16,17:53
045 Jardin de la Lironde,5,3,8,2022,01-16,17:53
046 P�re Soulas,2,6,8,2022,01-16,17:53
047 Place Viala,1,7,8,2022,01-16,17:53
048 H�tel du D�partement,2,6,8,2022,01-16,17:53
049 Tonnelles,3,5,8,2022,01-16,17:53
050 Parvis Jules Ferry - Gare Saint-Roch,0,8,8,2022,01-16,17:53
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,17:53
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,17:53
054 Providence - Ovalie,1,7,8,2022,01-16,17:53
055 P�rols Etang de l'Or,14,54,68,2022,01-16,17:53
056 Albert 1er - Cath�drale,5,7,12,2022,01-16,17:53
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,17:53
059 Sud De France,2,6,8,2022,01-16,17:53
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,18:04
002 Com�die,2,22,24,2022,01-16,18:04
003 Esplanade,5,27,32,2022,01-16,18:04
004 H�tel de Ville,12,4,16,2022,01-16,18:04
005 Corum,8,4,12,2022,01-16,18:04
006 Place Albert 1er - St Charles,7,24,31,2022,01-16,18:04
007 Foch,1,7,8,2022,01-16,18:04
008 Halles Castellane,0,12,12,2022,01-16,18:04
009 Observatoire,3,5,8,2022,01-16,18:04
010 Rondelet,3,13,16,2022,01-16,18:04
011 Plan Cabanes,4,8,12,2022,01-16,18:04
012 Boutonnet,2,10,12,2022,01-16,18:04
013 Emile Combes,3,5,8,2022,01-16,18:04
014 Beaux-Arts,5,3,8,2022,01-16,18:04
015 Les Aubes,4,4,8,2022,01-16,18:04
016 Antigone centre,10,6,16,2022,01-16,18:04
017 M�diath�que Emile Zola,2,14,16,2022,01-16,18:04
018 Nombre d'Or,15,1,16,2022,01-16,18:04
019 Louis Blanc,7,9,16,2022,01-16,18:04
020 Gambetta,1,7,8,2022,01-16,18:04
021 Port Marianne,15,1,16,2022,01-16,18:04
022 Clemenceau,4,8,12,2022,01-16,18:04
023 Les Arceaux,3,13,16,2022,01-16,18:04
024 Cit� Mion,4,4,8,2022,01-16,18:04
025 Nouveau Saint-Roch,5,3,8,2022,01-16,18:04
026 Renouvier,0,8,8,2022,01-16,18:04
027 Odysseum,2,6,8,2022,01-16,18:04
028 Saint-Denis,4,4,8,2022,01-16,18:04
029 Richter,6,10,16,2022,01-16,18:04
030 Charles Flahault,7,1,8,2022,01-16,18:04
031 Voltaire,0,8,8,2022,01-16,18:04
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,18:04
033 Garcia Lorca,6,2,8,2022,01-16,18:04
034 Vert Bois,0,16,16,2022,01-16,18:04
035 Malbosc,1,7,8,2022,01-16,18:04
036 Occitanie,4,28,32,2022,01-16,18:04
037 FacdesSciences,11,13,24,2022,01-16,18:04
038 Fac de Lettres,6,10,16,2022,01-16,18:04
039 Aiguelongue,5,3,8,2022,01-16,18:04
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,18:04
041 Eurom�decine,1,7,8,2022,01-16,18:04
042 Marie Caizergues,2,6,8,2022,01-16,18:04
043 Sabines,3,5,8,2022,01-16,18:04
044 Celleneuve,4,4,8,2022,01-16,18:04
045 Jardin de la Lironde,5,3,8,2022,01-16,18:04
046 P�re Soulas,2,6,8,2022,01-16,18:04
047 Place Viala,0,8,8,2022,01-16,18:04
048 H�tel du D�partement,2,6,8,2022,01-16,18:04
049 Tonnelles,3,5,8,2022,01-16,18:04
050 Parvis Jules Ferry - Gare Saint-Roch,0,8,8,2022,01-16,18:04
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,18:04
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,18:04
054 Providence - Ovalie,1,7,8,2022,01-16,18:04
055 P�rols Etang de l'Or,13,55,68,2022,01-16,18:04
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,18:04
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,18:04
059 Sud De France,2,6,8,2022,01-16,18:04
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,18:14
002 Com�die,2,22,24,2022,01-16,18:14
003 Esplanade,5,27,32,2022,01-16,18:14
004 H�tel de Ville,12,4,16,2022,01-16,18:14
005 Corum,8,4,12,2022,01-16,18:14
006 Place Albert 1er - St Charles,7,24,31,2022,01-16,18:14
007 Foch,3,5,8,2022,01-16,18:14
008 Halles Castellane,0,12,12,2022,01-16,18:14
009 Observatoire,3,5,8,2022,01-16,18:14
010 Rondelet,3,13,16,2022,01-16,18:14
011 Plan Cabanes,4,8,12,2022,01-16,18:14
012 Boutonnet,2,10,12,2022,01-16,18:14
013 Emile Combes,3,5,8,2022,01-16,18:14
014 Beaux-Arts,5,3,8,2022,01-16,18:14
015 Les Aubes,4,4,8,2022,01-16,18:14
016 Antigone centre,10,6,16,2022,01-16,18:14
017 M�diath�que Emile Zola,2,14,16,2022,01-16,18:14
018 Nombre d'Or,15,1,16,2022,01-16,18:14
019 Louis Blanc,7,9,16,2022,01-16,18:14
020 Gambetta,1,7,8,2022,01-16,18:14
021 Port Marianne,16,0,16,2022,01-16,18:14
022 Clemenceau,5,7,12,2022,01-16,18:14
023 Les Arceaux,3,13,16,2022,01-16,18:14
024 Cit� Mion,4,4,8,2022,01-16,18:14
025 Nouveau Saint-Roch,5,3,8,2022,01-16,18:14
026 Renouvier,1,7,8,2022,01-16,18:14
027 Odysseum,2,6,8,2022,01-16,18:14
028 Saint-Denis,5,3,8,2022,01-16,18:14
029 Richter,6,10,16,2022,01-16,18:14
030 Charles Flahault,7,1,8,2022,01-16,18:14
031 Voltaire,0,8,8,2022,01-16,18:14
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,18:14
033 Garcia Lorca,8,0,8,2022,01-16,18:14
034 Vert Bois,0,16,16,2022,01-16,18:14
035 Malbosc,1,7,8,2022,01-16,18:14
036 Occitanie,4,28,32,2022,01-16,18:14
037 FacdesSciences,11,13,24,2022,01-16,18:14
038 Fac de Lettres,6,10,16,2022,01-16,18:14
039 Aiguelongue,5,3,8,2022,01-16,18:14
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,18:14
041 Eurom�decine,1,7,8,2022,01-16,18:14
042 Marie Caizergues,2,6,8,2022,01-16,18:14
043 Sabines,3,5,8,2022,01-16,18:14
044 Celleneuve,4,4,8,2022,01-16,18:14
045 Jardin de la Lironde,5,3,8,2022,01-16,18:14
046 P�re Soulas,2,6,8,2022,01-16,18:14
047 Place Viala,1,7,8,2022,01-16,18:14
048 H�tel du D�partement,2,6,8,2022,01-16,18:14
049 Tonnelles,3,5,8,2022,01-16,18:14
050 Parvis Jules Ferry - Gare Saint-Roch,1,7,8,2022,01-16,18:14
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,18:14
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,18:14
054 Providence - Ovalie,1,7,8,2022,01-16,18:14
055 P�rols Etang de l'Or,19,49,68,2022,01-16,18:14
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,18:14
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,18:14
059 Sud De France,2,6,8,2022,01-16,18:14
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,18:24
002 Com�die,2,22,24,2022,01-16,18:24
003 Esplanade,5,27,32,2022,01-16,18:24
004 H�tel de Ville,12,4,16,2022,01-16,18:24
005 Corum,8,4,12,2022,01-16,18:24
006 Place Albert 1er - St Charles,7,24,31,2022,01-16,18:24
007 Foch,3,5,8,2022,01-16,18:24
008 Halles Castellane,0,12,12,2022,01-16,18:24
009 Observatoire,3,5,8,2022,01-16,18:24
010 Rondelet,3,13,16,2022,01-16,18:24
011 Plan Cabanes,4,8,12,2022,01-16,18:24
012 Boutonnet,2,10,12,2022,01-16,18:24
013 Emile Combes,3,5,8,2022,01-16,18:24
014 Beaux-Arts,7,1,8,2022,01-16,18:24
015 Les Aubes,4,4,8,2022,01-16,18:24
016 Antigone centre,11,5,16,2022,01-16,18:24
017 M�diath�que Emile Zola,3,13,16,2022,01-16,18:24
018 Nombre d'Or,15,1,16,2022,01-16,18:24
019 Louis Blanc,7,9,16,2022,01-16,18:24
020 Gambetta,1,7,8,2022,01-16,18:24
021 Port Marianne,16,0,16,2022,01-16,18:24
022 Clemenceau,5,7,12,2022,01-16,18:24
023 Les Arceaux,3,13,16,2022,01-16,18:24
024 Cit� Mion,4,4,8,2022,01-16,18:24
025 Nouveau Saint-Roch,5,3,8,2022,01-16,18:24
026 Renouvier,1,7,8,2022,01-16,18:24
027 Odysseum,2,6,8,2022,01-16,18:24
028 Saint-Denis,5,3,8,2022,01-16,18:24
029 Richter,6,10,16,2022,01-16,18:24
030 Charles Flahault,7,1,8,2022,01-16,18:24
031 Voltaire,0,8,8,2022,01-16,18:24
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,18:24
033 Garcia Lorca,8,0,8,2022,01-16,18:24
034 Vert Bois,0,16,16,2022,01-16,18:24
035 Malbosc,1,7,8,2022,01-16,18:24
036 Occitanie,4,28,32,2022,01-16,18:24
037 FacdesSciences,11,13,24,2022,01-16,18:24
038 Fac de Lettres,6,10,16,2022,01-16,18:24
039 Aiguelongue,5,3,8,2022,01-16,18:24
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,18:24
041 Eurom�decine,1,7,8,2022,01-16,18:24
042 Marie Caizergues,2,6,8,2022,01-16,18:24
043 Sabines,3,5,8,2022,01-16,18:24
044 Celleneuve,4,4,8,2022,01-16,18:24
045 Jardin de la Lironde,5,3,8,2022,01-16,18:24
046 P�re Soulas,2,6,8,2022,01-16,18:24
047 Place Viala,1,7,8,2022,01-16,18:24
048 H�tel du D�partement,2,6,8,2022,01-16,18:24
049 Tonnelles,2,6,8,2022,01-16,18:24
050 Parvis Jules Ferry - Gare Saint-Roch,1,7,8,2022,01-16,18:24
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,18:24
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,18:24
054 Providence - Ovalie,1,7,8,2022,01-16,18:24
055 P�rols Etang de l'Or,19,49,68,2022,01-16,18:24
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,18:24
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,18:24
059 Sud De France,2,6,8,2022,01-16,18:24
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,18:34
002 Com�die,5,19,24,2022,01-16,18:34
003 Esplanade,5,27,32,2022,01-16,18:34
004 H�tel de Ville,13,3,16,2022,01-16,18:34
005 Corum,7,5,12,2022,01-16,18:34
006 Place Albert 1er - St Charles,8,23,31,2022,01-16,18:34
007 Foch,3,5,8,2022,01-16,18:34
008 Halles Castellane,0,12,12,2022,01-16,18:34
009 Observatoire,3,5,8,2022,01-16,18:34
010 Rondelet,3,13,16,2022,01-16,18:34
011 Plan Cabanes,3,9,12,2022,01-16,18:34
012 Boutonnet,2,10,12,2022,01-16,18:34
013 Emile Combes,3,5,8,2022,01-16,18:34
014 Beaux-Arts,7,1,8,2022,01-16,18:34
015 Les Aubes,5,3,8,2022,01-16,18:34
016 Antigone centre,12,4,16,2022,01-16,18:34
017 M�diath�que Emile Zola,3,13,16,2022,01-16,18:34
018 Nombre d'Or,15,1,16,2022,01-16,18:34
019 Louis Blanc,7,9,16,2022,01-16,18:34
020 Gambetta,1,7,8,2022,01-16,18:34
021 Port Marianne,16,0,16,2022,01-16,18:34
022 Clemenceau,5,7,12,2022,01-16,18:34
023 Les Arceaux,3,13,16,2022,01-16,18:34
024 Cit� Mion,2,6,8,2022,01-16,18:34
025 Nouveau Saint-Roch,5,3,8,2022,01-16,18:34
026 Renouvier,1,7,8,2022,01-16,18:34
027 Odysseum,2,6,8,2022,01-16,18:34
028 Saint-Denis,6,2,8,2022,01-16,18:34
029 Richter,7,9,16,2022,01-16,18:34
030 Charles Flahault,7,1,8,2022,01-16,18:34
031 Voltaire,0,8,8,2022,01-16,18:34
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,18:34
033 Garcia Lorca,8,0,8,2022,01-16,18:34
034 Vert Bois,0,16,16,2022,01-16,18:34
035 Malbosc,1,7,8,2022,01-16,18:34
036 Occitanie,4,28,32,2022,01-16,18:34
037 FacdesSciences,11,13,24,2022,01-16,18:34
038 Fac de Lettres,6,10,16,2022,01-16,18:34
039 Aiguelongue,5,3,8,2022,01-16,18:34
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,18:34
041 Eurom�decine,1,7,8,2022,01-16,18:34
042 Marie Caizergues,2,6,8,2022,01-16,18:34
043 Sabines,3,5,8,2022,01-16,18:34
044 Celleneuve,4,4,8,2022,01-16,18:34
045 Jardin de la Lironde,5,3,8,2022,01-16,18:34
046 P�re Soulas,3,5,8,2022,01-16,18:34
047 Place Viala,1,7,8,2022,01-16,18:34
048 H�tel du D�partement,2,6,8,2022,01-16,18:34
049 Tonnelles,2,6,8,2022,01-16,18:34
050 Parvis Jules Ferry - Gare Saint-Roch,1,7,8,2022,01-16,18:34
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,18:34
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,18:34
054 Providence - Ovalie,1,7,8,2022,01-16,18:34
055 P�rols Etang de l'Or,18,50,68,2022,01-16,18:34
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,18:34
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,18:34
059 Sud De France,2,6,8,2022,01-16,18:34
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,18:44
002 Com�die,5,19,24,2022,01-16,18:44
003 Esplanade,5,27,32,2022,01-16,18:44
004 H�tel de Ville,13,3,16,2022,01-16,18:44
005 Corum,8,4,12,2022,01-16,18:44
006 Place Albert 1er - St Charles,8,23,31,2022,01-16,18:44
007 Foch,3,5,8,2022,01-16,18:44
008 Halles Castellane,0,12,12,2022,01-16,18:44
009 Observatoire,3,5,8,2022,01-16,18:44
010 Rondelet,3,13,16,2022,01-16,18:44
011 Plan Cabanes,3,9,12,2022,01-16,18:44
012 Boutonnet,2,10,12,2022,01-16,18:44
013 Emile Combes,3,5,8,2022,01-16,18:44
014 Beaux-Arts,7,1,8,2022,01-16,18:44
015 Les Aubes,5,3,8,2022,01-16,18:44
016 Antigone centre,12,4,16,2022,01-16,18:44
017 M�diath�que Emile Zola,3,13,16,2022,01-16,18:44
018 Nombre d'Or,16,0,16,2022,01-16,18:44
019 Louis Blanc,8,8,16,2022,01-16,18:44
020 Gambetta,1,7,8,2022,01-16,18:44
021 Port Marianne,16,0,16,2022,01-16,18:44
022 Clemenceau,5,7,12,2022,01-16,18:44
023 Les Arceaux,3,13,16,2022,01-16,18:44
024 Cit� Mion,2,6,8,2022,01-16,18:44
025 Nouveau Saint-Roch,5,3,8,2022,01-16,18:44
026 Renouvier,1,7,8,2022,01-16,18:44
027 Odysseum,2,6,8,2022,01-16,18:44
028 Saint-Denis,7,1,8,2022,01-16,18:44
029 Richter,7,9,16,2022,01-16,18:44
030 Charles Flahault,7,1,8,2022,01-16,18:44
031 Voltaire,0,8,8,2022,01-16,18:44
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,18:44
033 Garcia Lorca,8,0,8,2022,01-16,18:44
034 Vert Bois,0,16,16,2022,01-16,18:44
035 Malbosc,1,7,8,2022,01-16,18:44
036 Occitanie,4,28,32,2022,01-16,18:44
037 FacdesSciences,11,13,24,2022,01-16,18:44
038 Fac de Lettres,6,10,16,2022,01-16,18:44
039 Aiguelongue,5,3,8,2022,01-16,18:44
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,18:44
041 Eurom�decine,1,7,8,2022,01-16,18:44
042 Marie Caizergues,1,7,8,2022,01-16,18:44
043 Sabines,3,5,8,2022,01-16,18:44
044 Celleneuve,4,4,8,2022,01-16,18:44
045 Jardin de la Lironde,5,3,8,2022,01-16,18:44
046 P�re Soulas,3,5,8,2022,01-16,18:44
047 Place Viala,1,7,8,2022,01-16,18:44
048 H�tel du D�partement,2,6,8,2022,01-16,18:44
049 Tonnelles,3,5,8,2022,01-16,18:44
050 Parvis Jules Ferry - Gare Saint-Roch,1,7,8,2022,01-16,18:44
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,18:44
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,18:44
054 Providence - Ovalie,1,7,8,2022,01-16,18:44
055 P�rols Etang de l'Or,20,48,68,2022,01-16,18:44
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,18:44
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,18:44
059 Sud De France,2,6,8,2022,01-16,18:44
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,18:54
002 Com�die,5,19,24,2022,01-16,18:54
003 Esplanade,5,27,32,2022,01-16,18:54
004 H�tel de Ville,13,3,16,2022,01-16,18:54
005 Corum,8,4,12,2022,01-16,18:54
006 Place Albert 1er - St Charles,12,19,31,2022,01-16,18:54
007 Foch,3,5,8,2022,01-16,18:54
008 Halles Castellane,0,12,12,2022,01-16,18:54
009 Observatoire,4,4,8,2022,01-16,18:54
010 Rondelet,3,13,16,2022,01-16,18:54
011 Plan Cabanes,3,9,12,2022,01-16,18:54
012 Boutonnet,2,10,12,2022,01-16,18:54
013 Emile Combes,3,5,8,2022,01-16,18:54
014 Beaux-Arts,7,1,8,2022,01-16,18:54
015 Les Aubes,5,3,8,2022,01-16,18:54
016 Antigone centre,13,3,16,2022,01-16,18:54
017 M�diath�que Emile Zola,6,10,16,2022,01-16,18:54
018 Nombre d'Or,14,2,16,2022,01-16,18:54
019 Louis Blanc,8,8,16,2022,01-16,18:54
020 Gambetta,1,7,8,2022,01-16,18:54
021 Port Marianne,16,0,16,2022,01-16,18:54
022 Clemenceau,5,7,12,2022,01-16,18:54
023 Les Arceaux,3,13,16,2022,01-16,18:54
024 Cit� Mion,2,6,8,2022,01-16,18:54
025 Nouveau Saint-Roch,5,3,8,2022,01-16,18:54
026 Renouvier,1,7,8,2022,01-16,18:54
027 Odysseum,2,6,8,2022,01-16,18:54
028 Saint-Denis,7,1,8,2022,01-16,18:54
029 Richter,7,9,16,2022,01-16,18:54
030 Charles Flahault,7,1,8,2022,01-16,18:54
031 Voltaire,0,8,8,2022,01-16,18:54
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,18:54
033 Garcia Lorca,8,0,8,2022,01-16,18:54
034 Vert Bois,0,16,16,2022,01-16,18:54
035 Malbosc,1,7,8,2022,01-16,18:54
036 Occitanie,4,28,32,2022,01-16,18:54
037 FacdesSciences,11,13,24,2022,01-16,18:54
038 Fac de Lettres,6,10,16,2022,01-16,18:54
039 Aiguelongue,5,3,8,2022,01-16,18:54
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,18:54
041 Eurom�decine,1,7,8,2022,01-16,18:54
042 Marie Caizergues,1,7,8,2022,01-16,18:54
043 Sabines,3,5,8,2022,01-16,18:54
044 Celleneuve,4,4,8,2022,01-16,18:54
045 Jardin de la Lironde,5,3,8,2022,01-16,18:54
046 P�re Soulas,1,7,8,2022,01-16,18:54
047 Place Viala,1,7,8,2022,01-16,18:54
048 H�tel du D�partement,2,6,8,2022,01-16,18:54
049 Tonnelles,3,5,8,2022,01-16,18:54
050 Parvis Jules Ferry - Gare Saint-Roch,1,7,8,2022,01-16,18:54
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,18:54
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,18:54
054 Providence - Ovalie,1,7,8,2022,01-16,18:54
055 P�rols Etang de l'Or,23,45,68,2022,01-16,18:54
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,18:54
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,18:54
059 Sud De France,2,6,8,2022,01-16,18:54
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,19:05
002 Com�die,5,19,24,2022,01-16,19:05
003 Esplanade,7,25,32,2022,01-16,19:05
004 H�tel de Ville,13,3,16,2022,01-16,19:05
005 Corum,8,4,12,2022,01-16,19:05
006 Place Albert 1er - St Charles,12,19,31,2022,01-16,19:05
007 Foch,3,5,8,2022,01-16,19:05
008 Halles Castellane,0,12,12,2022,01-16,19:05
009 Observatoire,4,4,8,2022,01-16,19:05
010 Rondelet,3,13,16,2022,01-16,19:05
011 Plan Cabanes,3,9,12,2022,01-16,19:05
012 Boutonnet,3,9,12,2022,01-16,19:05
013 Emile Combes,3,5,8,2022,01-16,19:05
014 Beaux-Arts,7,1,8,2022,01-16,19:05
015 Les Aubes,5,3,8,2022,01-16,19:05
016 Antigone centre,13,3,16,2022,01-16,19:05
017 M�diath�que Emile Zola,7,9,16,2022,01-16,19:05
018 Nombre d'Or,14,2,16,2022,01-16,19:05
019 Louis Blanc,8,8,16,2022,01-16,19:05
020 Gambetta,1,7,8,2022,01-16,19:05
021 Port Marianne,16,0,16,2022,01-16,19:05
022 Clemenceau,5,7,12,2022,01-16,19:05
023 Les Arceaux,2,14,16,2022,01-16,19:05
024 Cit� Mion,2,6,8,2022,01-16,19:05
025 Nouveau Saint-Roch,5,3,8,2022,01-16,19:05
026 Renouvier,1,7,8,2022,01-16,19:05
027 Odysseum,2,6,8,2022,01-16,19:05
028 Saint-Denis,7,1,8,2022,01-16,19:05
029 Richter,7,9,16,2022,01-16,19:05
030 Charles Flahault,7,1,8,2022,01-16,19:05
031 Voltaire,0,8,8,2022,01-16,19:05
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,19:05
033 Garcia Lorca,8,0,8,2022,01-16,19:05
034 Vert Bois,0,16,16,2022,01-16,19:05
035 Malbosc,1,7,8,2022,01-16,19:05
036 Occitanie,4,28,32,2022,01-16,19:05
037 FacdesSciences,10,14,24,2022,01-16,19:05
038 Fac de Lettres,6,10,16,2022,01-16,19:05
039 Aiguelongue,5,3,8,2022,01-16,19:05
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,19:05
041 Eurom�decine,1,7,8,2022,01-16,19:05
042 Marie Caizergues,1,7,8,2022,01-16,19:05
043 Sabines,3,5,8,2022,01-16,19:05
044 Celleneuve,4,4,8,2022,01-16,19:05
045 Jardin de la Lironde,5,3,8,2022,01-16,19:05
046 P�re Soulas,1,7,8,2022,01-16,19:05
047 Place Viala,1,7,8,2022,01-16,19:05
048 H�tel du D�partement,2,6,8,2022,01-16,19:05
049 Tonnelles,3,5,8,2022,01-16,19:05
050 Parvis Jules Ferry - Gare Saint-Roch,1,7,8,2022,01-16,19:05
051 Pont de Lattes - Gare Saint-Roch,0,12,12,2022,01-16,19:05
053 Deux Ponts - Gare Saint-Roch,2,6,8,2022,01-16,19:05
054 Providence - Ovalie,1,7,8,2022,01-16,19:05
055 P�rols Etang de l'Or,23,45,68,2022,01-16,19:05
056 Albert 1er - Cath�drale,4,8,12,2022,01-16,19:05
057 Saint-Guilhem - Courreau,2,6,8,2022,01-16,19:05
059 Sud De France,2,6,8,2022,01-16,19:05
001 Rue Jules Ferry - Gare Saint-Roch,9,3,12,2022,01-16,19:15
002 Com�die,2,22,24,2022,01-16,19:15
003 Esplanade,5,27,32,2022,01-16,19:15
004 H�tel de Ville,13,3,16,2022,01-16,19:15
005 Corum,9,3,12,2022,01-16,19:15
006 Place Albert 1er - St Charles,12,19,31,2022,01-16,19:15
007 Foch,3,5,8,2022,01-16,19:15
008 Halles Castellane,0,12,12,2022,01-16,19:15
009 Observatoire,4,4,8,2022,01-16,19:15
010 Rondelet,3,13,16,2022,01-16,19:15
011 Plan Cabanes,3,9,12,2022,01-16,19:15
012 Boutonnet,3,9,12,2022,01-16,19:15
013 Emile Combes,3,5,8,2022,01-16,19:15
014 Beaux-Arts,7,1,8,2022,01-16,19:15
015 Les Aubes,5,3,8,2022,01-16,19:15
016 Antigone centre,13,3,16,2022,01-16,19:15
017 M�diath�que Emile Zola,7,9,16,2022,01-16,19:15
018 Nombre d'Or,14,2,16,2022,01-16,19:15
019 Louis Blanc,9,7,16,2022,01-16,19:15
020 Gambetta,1,7,8,2022,01-16,19:15
021 Port Marianne,16,0,16,2022,01-16,19:15
022 Clemenceau,3,9,12,2022,01-16,19:15
023 Les Arceaux,2,14,16,2022,01-16,19:15
024 Cit� Mion,2,6,8,2022,01-16,19:15
025 Nouveau Saint-Roch,6,2,8,2022,01-16,19:15
026 Renouvier,1,7,8,2022,01-16,19:15
027 Odysseum,2,6,8,2022,01-16,19:15
028 Saint-Denis,7,1,8,2022,01-16,19:15
029 Richter,7,9,16,2022,01-16,19:15
030 Charles Flahault,7,1,8,2022,01-16,19:15
031 Voltaire,0,8,8,2022,01-16,19:15
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,19:15
033 Garcia Lorca,8,0,8,2022,01-16,19:15
034 Vert Bois,0,16,16,2022,01-16,19:15
035 Malbosc,1,7,8,2022,01-16,19:15
036 Occitanie,4,28,32,2022,01-16,19:15
037 FacdesSciences,10,14,24,2022,01-16,19:15
038 Fac de Lettres,6,10,16,2022,01-16,19:15
039 Aiguelongue,5,3,8,2022,01-16,19:15
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,19:15
041 Eurom�decine,1,7,8,2022,01-16,19:15
